Date, Open, High, Low, Close, Volume
06/24/25, 202.59, 203.44, 200.20, 200.30, 54064031
06/23/25, 201.625, 202.30, 198.96, 201.50, 55814273
06/20/25, 198.235, 201.70, 196.855, 201.00, 96813539
06/18/25, 195.94, 197.57, 195.07, 196.58, 45394688
06/17/25, 197.20, 198.39, 195.21, 195.64, 38856152
06/16/25, 197.30, 198.685, 196.5636, 198.42, 43020688
06/13/25, 199.73, 200.37, 195.70, 196.45, 51447352
06/12/25, 199.08, 199.68, 197.3601, 199.20, 43904641
06/11/25, 203.50, 204.50, 198.41, 198.78, 60989859
06/10/25, 200.60, 204.35, 200.57, 202.67, 54672609
06/09/25, 204.39, 206.00, 200.02, 201.45, 72862562
06/06/25, 203.00, 205.70, 202.05, 203.92, 46607688
06/05/25, 203.50, 204.75, 200.15, 200.63, 55221238
06/04/25, 202.91, 206.24, 202.10, 202.82, 43603992
06/03/25, 201.35, 203.77, 200.955, 203.27, 46381566
06/02/25, 200.28, 202.13, 200.12, 201.70, 35423289
05/30/25, 199.37, 201.96, 196.78, 200.85, 70819938
05/29/25, 203.575, 203.81, 198.51, 199.95, 51477941
05/28/25, 200.59, 202.73, 199.90, 200.42, 45339680
05/27/25, 198.30, 200.74, 197.43, 200.21, 56288480
05/23/25, 193.665, 197.70, 193.46, 195.27, 78432922
05/22/25, 200.71, 202.75, 199.70, 201.36, 46742406
05/21/25, 205.17, 207.04, 200.71, 202.09, 59211770
05/20/25, 207.67, 208.47, 205.03, 206.86, 42496641
05/19/25, 207.91, 209.48, 204.26, 208.78, 46140527
05/16/25, 212.36, 212.57, 209.77, 211.26, 54737848
05/15/25, 210.95, 212.96, 209.54, 211.45, 45029473
05/14/25, 212.43, 213.94, 210.5801, 212.33, 49325832
05/13/25, 210.43, 213.40, 209.00, 212.93, 51909328
05/12/25, 210.97, 211.2679, 206.75, 210.79, 63775809
05/09/25, 199.00, 200.5399, 197.535, 198.53, 36453922
05/08/25, 197.72, 200.05, 194.6796, 197.49, 50478871
05/07/25, 199.17, 199.44, 193.25, 196.25, 68616945
05/06/25, 198.21, 200.65, 197.02, 198.51, 51216480
05/05/25, 203.10, 204.10, 198.21, 198.89, 69018445
05/02/25, 206.09, 206.99, 202.16, 205.35, 101010602
05/01/25, 209.08, 214.56, 208.90, 213.32, 57365680
04/30/25, 209.30, 213.58, 206.6705, 212.50, 52286449
04/29/25, 208.693, 212.24, 208.37, 211.21, 36827633
04/28/25, 210.00, 211.50, 207.46, 210.14, 38743070
04/25/25, 206.365, 209.75, 206.20, 209.28, 38222262
04/24/25, 204.89, 208.8299, 202.94, 208.37, 47310992
04/23/25, 206.00, 208.00, 202.799, 204.60, 52929168
04/22/25, 196.12, 201.59, 195.97, 199.74, 52976367
04/21/25, 193.265, 193.80, 189.8112, 193.16, 46742539
04/17/25, 197.20, 198.8335, 194.42, 196.98, 52164680
04/16/25, 198.36, 200.70, 192.37, 194.27, 59732422
04/15/25, 201.855, 203.51, 199.80, 202.14, 51343871
04/14/25, 211.44, 212.94, 201.1621, 202.52, 101352898
04/11/25, 186.10, 199.54, 186.06, 198.15, 87435922
04/10/25, 189.065, 194.7799, 183.00, 190.42, 121880000
04/09/25, 171.95, 200.61, 171.89, 198.85, 184395906
04/08/25, 186.70, 190.335, 169.2101, 172.42, 120859508
04/07/25, 177.20, 194.15, 174.62, 181.46, 160466297
04/04/25, 193.89, 199.88, 187.34, 188.38, 125910898
04/03/25, 205.54, 207.49, 201.25, 203.19, 103419000
04/02/25, 221.315, 225.19, 221.02, 223.89, 35905898
04/01/25, 219.805, 223.68, 218.90, 223.19, 36412738
03/31/25, 217.005, 225.62, 216.23, 222.13, 65299320
03/28/25, 221.67, 223.81, 217.68, 217.90, 39818621
03/27/25, 221.39, 224.99, 220.5601, 223.85, 37094770
