Date, Open, High, Low, Close, Volume
06/24/25, 356.17, 356.26, 340.44, 340.47, 114736203
06/23/25, 327.54, 357.54, 327.48, 348.68, 190716797
06/20/25, 327.95, 332.36, 317.78, 322.16, 108688000
06/18/25, 317.31, 329.32, 315.45, 322.05, 95137688
06/17/25, 326.09, 327.26, 314.74, 316.35, 88282672
06/16/25, 331.29, 332.05, 326.41, 329.13, 83925859
06/13/25, 313.97, 332.99, 313.30, 325.31, 128964305
06/12/25, 323.075, 332.56, 316.86, 319.11, 105127508
06/11/25, 334.395, 335.50, 322.50, 326.43, 122611398
06/10/25, 314.94, 327.83, 310.667, 326.09, 151256500
06/09/25, 285.955, 309.83, 281.85, 308.58, 140908891
06/06/25, 298.83, 305.50, 291.14, 295.14, 164747703
06/05/25, 322.49, 324.5499, 273.21, 284.70, 292818688
06/04/25, 345.095, 345.60, 327.3308, 332.05, 98912078
06/03/25, 346.595, 355.40, 343.04, 344.27, 99324547
06/02/25, 343.50, 348.02, 333.33, 342.69, 81873828
05/30/25, 355.52, 363.68, 345.29, 346.46, 123474898
05/29/25, 365.29, 367.71, 356.00, 358.43, 88545672
05/28/25, 364.84, 365.00, 355.91, 356.90, 91404312
05/27/25, 347.35, 363.79, 347.32, 362.89, 120146398
05/23/25, 337.92, 343.18, 333.21, 339.34, 84654812
05/22/25, 331.90, 347.27, 331.39, 341.04, 97113422
05/21/25, 344.43, 347.35, 332.20, 334.62, 102354797
05/20/25, 347.87, 354.9899, 341.63, 343.82, 131715500
05/19/25, 336.30, 343.00, 333.37, 342.09, 88869852
05/16/25, 346.24, 351.62, 342.33, 349.98, 95895672
05/15/25, 340.34, 346.1393, 334.7153, 342.82, 97882602
05/14/25, 342.50, 350.00, 337.00, 347.68, 136997297
05/13/25, 320.00, 337.5894, 316.80, 334.07, 136992609
05/12/25, 321.99, 322.21, 311.50, 318.38, 112826703
05/09/25, 290.21, 307.04, 290.00, 298.26, 132387797
05/08/25, 279.63, 289.80, 279.41, 284.82, 97539445
05/07/25, 276.88, 277.92, 271.00, 276.22, 71882406
05/06/25, 273.105, 277.73, 271.35, 275.35, 76715789
05/05/25, 284.57, 284.849, 274.40, 280.26, 94618883
05/02/25, 284.90, 294.78, 279.81, 287.21, 114454703
05/01/25, 280.01, 290.8688, 279.81, 280.52, 99658969
04/30/25, 279.90, 284.45, 270.78, 282.16, 128961102
04/29/25, 285.50, 293.32, 279.4695, 292.03, 108906602
04/28/25, 288.98, 294.86, 272.42, 285.88, 151731812
04/25/25, 261.69, 286.85, 259.63, 284.95, 167560703
04/24/25, 250.50, 259.54, 249.20, 259.51, 94464203
04/23/25, 254.86, 259.4499, 244.43, 250.74, 150381906
04/22/25, 230.96, 242.79, 229.8501, 237.97, 120858492
04/21/25, 230.26, 232.21, 222.79, 227.50, 97768008
04/17/25, 243.47, 244.34, 237.6833, 241.37, 83404781
04/16/25, 247.61, 251.97, 233.89, 241.55, 112378703
04/15/25, 249.91, 258.75, 247.54, 254.11, 79594320
04/14/25, 258.36, 261.80, 245.93, 252.35, 100135203
04/11/25, 251.84, 257.74, 241.3629, 252.31, 128948094
04/10/25, 260.00, 262.49, 239.33, 252.40, 181722594
04/09/25, 224.69, 274.69, 223.88, 272.20, 219433406
04/08/25, 245.00, 250.44, 217.80, 221.86, 171603500
04/07/25, 223.78, 252.00, 214.25, 233.29, 183453797
04/04/25, 255.38, 261.00, 236.00, 239.43, 181229406
04/03/25, 265.29, 276.30, 261.51, 267.28, 136174297
04/02/25, 254.60, 284.99, 251.27, 282.76, 212787812
04/01/25, 263.80, 277.45, 259.25, 268.46, 146486891
03/31/25, 249.31, 260.56, 243.3601, 259.16, 134008891
03/28/25, 275.575, 276.10, 260.57, 263.55, 123809398
03/27/25, 272.48, 291.85, 271.8216, 273.13, 162572094
